sample_id,class_name,method_name,code_sample,label
82687,FilterProcessor,execute,"class FilterProcessor {
        public void execute(T input) {
            if (predicate.test(input)) {
                context.forward(input);
            }
        }
}

class Predicate {
    public void test() {}
}

class Context {
    public void forward() {}
}",1
82688,FlatMapProcessor,execute,"class FlatMapProcessor {
        public void execute(T input) {
            for (R res : function.apply(input)) {
                context.forward(res);
            }
        }
}

class Function {
        R apply(T t) throws Exception;
}

class Context {
    public void forward() {}
}",1
82689,FlatMapValuesProcessor,execute,"class FlatMapValuesProcessor {
        protected void execute(Pair<K, V> input) {
            for (R res : function.apply(input.getSecond())) {
                context.forward(Pair.of(input.getFirst(), res));
            }
        }
}

class Function {
        R apply(T t) throws Exception;
}

class Input {
    public void getFirst() {}
    public void getSecond() {}
}

class Context {
    public void forward() {}
}

class Pair {
    public void of() {}
}",1
82690,ForEachProcessor,execute,"class ForEachProcessor {
        public void execute(T input) {
            consumer.accept(input);
        }
}

class Consumer {
    public void accept() {}
}",0
82691,JoinProcessor,execute,"class JoinProcessor {
        public void execute(Pair<K, ?> input, String sourceStream) {
            K key = input.getFirst();
            if (sourceStream.equals(leftStream)) {
                V1 val = (V1) input.getSecond();
                Pair<K, V1> pair = Pair.of(key, val);
                leftRows.add(pair);
                if (!context.isWindowed()) {
                    joinAndForward(Collections.singletonList(pair), rightRows);
                }
            } else if (sourceStream.equals(rightStream)) {
                V2 val = (V2) input.getSecond();
                Pair<K, V2> pair = Pair.of(key, val);
                rightRows.add(pair);
                if (!context.isWindowed()) {
                    joinAndForward(leftRows, Collections.singletonList(pair));
                }
            }
        }
}

class Input {
    public void getFirst() {}
    public void getSecond() {}
}

class Pair {
    public void of() {}
}

class Context {
    public void isWindowed() {}
}",1
82692,JoinProcessor,joinAndForward,"class JoinProcessor {
        private void joinAndForward(List<Pair<K, V1>> leftRows, List<Pair<K, V2>> rightRows) {
            if (leftRows.size() < rightRows.size()) {
                for (Tuple3<K, V1, V2> res : join(getJoinTable(leftRows), rightRows, leftType, rightType)) {
                    context.forward(Pair.of(res.value1, valueJoiner.apply(res.value2, res.value3)));
                }
            } else {
                for (Tuple3<K, V2, V1> res : join(getJoinTable(rightRows), leftRows, rightType, leftType)) {
                    context.forward(Pair.of(res.value1, valueJoiner.apply(res.value3, res.value2)));
                }
            }
        }
}

class Context {
    public void forward() {}
}

class Pair {
    public void of() {}
}

class ValueJoiner {
        VR apply(final V1 value1, final V2 value2);
}",1
82693,JoinProcessor,join,"class JoinProcessor {
        private <T1, T2> List<Tuple3<K, T1, T2>> join(Multimap<K, T1> tab, List<Pair<K, T2>> rows,
                                                      JoinType leftType, JoinType rightType) {
            List<Tuple3<K, T1, T2>> res = new ArrayList<>();
            for (Pair<K, T2> row : rows) {
                K key = row.getFirst();
                Collection<T1> values = tab.removeAll(key);
                if (values.isEmpty()) {
                    if (rightType == JoinType.OUTER) {
                        res.add(new Tuple3<>(row.getFirst(), null, row.getSecond()));
                    }
                } else {
                    for (T1 mapValue : values) {
                        res.add(new Tuple3<>(row.getFirst(), mapValue, row.getSecond()));
                    }
                }
            }
            if (leftType == JoinType.OUTER) {
                for (Map.Entry<K, T1> row : tab.entries()) {
                    res.add(new Tuple3<>(row.getKey(), row.getValue(), null));
                }
            }
            return res;
        }
}

class Row {
    public void getFirst() {}
    public void getSecond() {}
    public void getKey() {}
    public void getValue() {}
}",0
82694,MapProcessor,execute,"class MapProcessor {
        public void execute(T input) {
            context.forward(function.apply(input));
        }
}

class Context {
    public void forward() {}
}

class Function {
        R apply(T t) throws Exception;
}",1
82695,MapValuesProcessor,execute,"class MapValuesProcessor {
        public void execute(Pair<K, V> input) {
            context.forward(Pair.of(input.getFirst(), function.apply(input.getSecond())));
        }
}

class Context {
    public void forward() {}
}

class Pair {
    public void of() {}
}

class Input {
    public void getFirst() {}
    public void getSecond() {}
}

class Function {
        R apply(T t) throws Exception;
}",1
82696,PeekProcessor,execute,"class PeekProcessor {
        public void execute(T input) {
            consumer.accept(input);
            context.forward(input);
        }
}

class Consumer {
    public void accept() {}
}

class Context {
    public void forward() {}
}",0
82697,StateQueryProcessor,execute,"class StateQueryProcessor {
        protected void execute(K key) {
            V value = keyValueState.get(key);
            if (value != null) {
                context.forward(Pair.of(key, value));
            }
        }
}

class KeyValueState {
        V get(K key);
}

class Context {
    public void forward() {}
}

class Pair {
    public void of() {}
}",1
82698,LongSum,apply,"class LongSum {
        public Long apply(Long aggregate, Number value) {
            return value.longValue() + aggregate;
        }
}

class Value {
    public void longValue() {}
}",0
82699,PairValueMapper,apply,"class PairValueMapper {
        public Pair<K, V> apply(Tuple input) {
            return Pair.of((K) input.getValue(keyIndex), (V) input.getValue(valueIndex));
        }
}

class Pair {
    public void of() {}
}

class Input {
    public void getValue() {}
}",1
82700,ValueMapper,apply,"class ValueMapper {
        public T apply(Tuple input) {
            return (T) input.getValue(index);
        }
}

class Input {
    public void getValue() {}
}",0
82701,ValuesMapper,apply,"class ValuesMapper {
        public Values apply(Tuple input) {
            Values values = new Values();
            for (int i : indices) {
                values.add(input.getValue(i));
            }
            return values;
        }
}

class Input {
    public void getValue() {}
}",0
82702,SaslTransportPlugin,getServer,"class SaslTransportPlugin {
        public TServer getServer(TProcessor processor) throws IOException, TTransportException {
            int configuredPort = type.getPort(conf);
            Integer socketTimeout = type.getSocketTimeOut(conf);
            TTransportFactory serverTransportFactory = getServerTransportFactory(type.isImpersonationAllowed());
            TServerSocket serverTransport = null;
            if (socketTimeout != null) {
                serverTransport = new TServerSocket(configuredPort, socketTimeout);
            } else {
                serverTransport = new TServerSocket(configuredPort);
            }
            this.port = serverTransport.getServerSocket().getLocalPort();
            int numWorkerThreads = type.getNumThreads(conf);
            Integer queueSize = type.getQueueSize(conf);
            TThreadPoolServer.Args serverArgs = new TThreadPoolServer.Args(serverTransport)
                .processor(new TUGIWrapProcessor(processor))
                .minWorkerThreads(numWorkerThreads)
                .maxWorkerThreads(numWorkerThreads)
                .protocolFactory(new TBinaryProtocol.Factory(false, true));
            if (serverTransportFactory != null) {
                serverArgs.transportFactory(serverTransportFactory);
            }
            BlockingQueue<Runnable> workQueue = new SynchronousQueue<>();
            if (queueSize != null) {
                workQueue = new ArrayBlockingQueue<>(queueSize);
            }
            ThreadPoolExecutor executorService = new ExtendedThreadPoolExecutor(numWorkerThreads, numWorkerThreads,
                                                                                60, TimeUnit.SECONDS, workQueue);
            serverArgs.executorService(executorService);
            return new TThreadPoolServer(serverArgs);
        }
}

class Type {
    public void getPort() {}
    public void getQueueSize() {}
    public void getSocketTimeOut() {}
    public void getNumThreads() {}
    public void isImpersonationAllowed() {}
}",0
82703,SimpleSaslClientCallbackHandler,handle,"class SimpleSaslClientCallbackHandler {
        public void handle(Callback[] callbacks) throws UnsupportedCallbackException {
            for (Callback c : callbacks) {
                if (c instanceof NameCallback) {
                    NameCallback nc = (NameCallback) c;
                    nc.setName(username);
                } else if (c instanceof PasswordCallback) {
                    PasswordCallback pc = (PasswordCallback) c;
                    if (password != null) {
                        pc.setPassword(password.toCharArray());
                    }
                } else if (c instanceof AuthorizeCallback) {
                    AuthorizeCallback ac = (AuthorizeCallback) c;
                    String authid = ac.getAuthenticationID();
                    String authzid = ac.getAuthorizationID();
                    if (authid.equals(authzid)) {
                        ac.setAuthorized(true);
                    } else {
                        ac.setAuthorized(false);
                    }
                    if (ac.isAuthorized()) {
                        ac.setAuthorizedID(authzid);
                    }
                } else if (c instanceof RealmCallback) {
                    RealmCallback rc = (RealmCallback) c;
                    ((RealmCallback) c).setText(rc.getDefaultText());
                } else {
                    throw new UnsupportedCallbackException(c);
                }
            }
        }
}

class Password {
    public void toCharArray() {}
}",0
82704,WorkerTokenClientCallbackHandler,findWorkerTokenInSubject,"class WorkerTokenClientCallbackHandler {
        public static WorkerToken findWorkerTokenInSubject(ThriftConnectionType type) {
            WorkerTokenServiceType serviceType = type.getWtType();
            WorkerToken ret = null;
            if (serviceType != null) {
                Subject subject = Subject.getSubject(AccessController.getContext());
                if (subject != null) {
                    ret = ClientAuthUtils.findWorkerToken(subject, serviceType);
                }
            }
            return ret;
        }
}

class Type {
    public void getWtType() {}
}

class Subject {
    public void getSubject() {}
}

class AccessController {
        public static AccessControlContext getContext() {
            return java.security.AccessController.getContext();
        }
}",1
82705,MultiLatencyStat,getTimeLatAvg,"class MultiLatencyStat {
        public Map<String, Map<T, Double>> getTimeLatAvg() {
            Map<String, Map<T, Double>> ret = new HashMap<>();
            for (Map.Entry<T, LatencyStat> entry : lat.entrySet()) {
                T key = entry.getKey();
                Map<String, Double> toFlip = entry.getValue().getTimeLatAvg();
                for (Map.Entry<String, Double> subEntry : toFlip.entrySet()) {
                    String time = subEntry.getKey();
                    Map<T, Double> tmp = ret.get(time);
                    if (tmp == null) {
                        tmp = new HashMap<>();
                        ret.put(time, tmp);
                    }
                    tmp.put(key, subEntry.getValue());
                }
            }
            return ret;
        }
}

class Entry {
    public void getKey() {}
    public void getValue() {}
}",1
82706,BoltAckInfo,applyOn,"class BoltAckInfo {
        public void applyOn(TopologyContext topologyContext) {
            List<ITaskHook> hooks = topologyContext.getHooks();
            for (int i = 0; i < hooks.size(); i++) {
                hooks.get(i).boltAck(this);
            }
        }
}

class TopologyContext {
      public Collection<ITaskHook> getHooks() {
        Collection<org.apache.heron.api.hooks.ITaskHook> hooks = delegate.getHooks();
        if (hooks != null) {
          for (org.apache.heron.api.hooks.ITaskHook hook : hooks) {
            if (hook instanceof ITaskHookDelegate) {
              return ((ITaskHookDelegate) hook).getHooks();
            }
          }
        }
        return null;
      }
}

class Hooks {
    public void size() {}
    public void get() {}
}",1
82707,BoltExecuteInfo,applyOn,"class BoltExecuteInfo {
        public void applyOn(TopologyContext topologyContext) {
            List<ITaskHook> hooks = topologyContext.getHooks();
            for (int i = 0; i < hooks.size(); i++) {
                hooks.get(i).boltExecute(this);
            }
        }
}

class TopologyContext {
      public Collection<ITaskHook> getHooks() {
        Collection<org.apache.heron.api.hooks.ITaskHook> hooks = delegate.getHooks();
        if (hooks != null) {
          for (org.apache.heron.api.hooks.ITaskHook hook : hooks) {
            if (hook instanceof ITaskHookDelegate) {
              return ((ITaskHookDelegate) hook).getHooks();
            }
          }
        }
        return null;
      }
}

class Hooks {
    public void size() {}
    public void get() {}
}",1
82708,BoltFailInfo,applyOn,"class BoltFailInfo {
        public void applyOn(TopologyContext topologyContext) {
            List<ITaskHook> hooks = topologyContext.getHooks();
            for (int i = 0; i < hooks.size(); i++) {
                hooks.get(i).boltFail(this);
            }
        }
}

class TopologyContext {
      public Collection<ITaskHook> getHooks() {
        Collection<org.apache.heron.api.hooks.ITaskHook> hooks = delegate.getHooks();
        if (hooks != null) {
          for (org.apache.heron.api.hooks.ITaskHook hook : hooks) {
            if (hook instanceof ITaskHookDelegate) {
              return ((ITaskHookDelegate) hook).getHooks();
            }
          }
        }
        return null;
      }
}

class Hooks {
    public void size() {}
    public void get() {}
}",1
82709,EmitInfo,applyOn,"class EmitInfo {
        public void applyOn(TopologyContext topologyContext) {
            List<ITaskHook> hooks = topologyContext.getHooks();
            for (int i = 0; i < hooks.size(); i++) {
                hooks.get(i).emit(this);
            }
        }
}

class TopologyContext {
      public Collection<ITaskHook> getHooks() {
        Collection<org.apache.heron.api.hooks.ITaskHook> hooks = delegate.getHooks();
        if (hooks != null) {
          for (org.apache.heron.api.hooks.ITaskHook hook : hooks) {
            if (hook instanceof ITaskHookDelegate) {
              return ((ITaskHookDelegate) hook).getHooks();
            }
          }
        }
        return null;
      }
}

class Hooks {
    public void size() {}
    public void get() {}
}",1
82710,SpoutAckInfo,applyOn,"class SpoutAckInfo {
        public void applyOn(TopologyContext topologyContext) {
            List<ITaskHook> hooks = topologyContext.getHooks();
            for (int i = 0; i < hooks.size(); i++) {
                hooks.get(i).spoutAck(this);
            }
        }
}

class TopologyContext {
      public Collection<ITaskHook> getHooks() {
        Collection<org.apache.heron.api.hooks.ITaskHook> hooks = delegate.getHooks();
        if (hooks != null) {
          for (org.apache.heron.api.hooks.ITaskHook hook : hooks) {
            if (hook instanceof ITaskHookDelegate) {
              return ((ITaskHookDelegate) hook).getHooks();
            }
          }
        }
        return null;
      }
}

class Hooks {
    public void size() {}
    public void get() {}
}",1
82711,SpoutFailInfo,applyOn,"class SpoutFailInfo {
        public void applyOn(TopologyContext topologyContext) {
            List<ITaskHook> hooks = topologyContext.getHooks();
            for (int i = 0; i < hooks.size(); i++) {
                hooks.get(i).spoutFail(this);
            }
        }
}

class TopologyContext {
      public Collection<ITaskHook> getHooks() {
        Collection<org.apache.heron.api.hooks.ITaskHook> hooks = delegate.getHooks();
        if (hooks != null) {
          for (org.apache.heron.api.hooks.ITaskHook hook : hooks) {
            if (hook instanceof ITaskHookDelegate) {
              return ((ITaskHookDelegate) hook).getHooks();
            }
          }
        }
        return null;
      }
}

class Hooks {
    public void size() {}
    public void get() {}
}",1
82712,CgroupCoreFactory,getInstance,"class CgroupCoreFactory {
        public static Map<SubSystemType, CgroupCore> getInstance(Set<SubSystemType> types, String dir) {
            Map<SubSystemType, CgroupCore> result = new HashMap<SubSystemType, CgroupCore>();
            for (SubSystemType type : types) {
                CgroupCore inst = getInstance(type, dir);
                if (inst != null) {
                    result.put(type, inst);
                }
            }
            return result;
        }
}

class Result {
    public void put() {}
}",0
82713,Hierarchy,hashCode,"class Hierarchy {
        public int hashCode() {
            final int prime = 31;
            int result = 1;
            result = prime * result + ((dir == null) ? 0 : dir.hashCode());
            result = prime * result + ((name == null) ? 0 : name.hashCode());
            result = prime * result + ((type == null) ? 0 : type.hashCode());
            return result;
        }
}

class Name {
        public synchronized int hashCode() {
            if (isReference()) {
                return getRef().hashCode();
            }
            return getClass().hashCode();
        }
}

class Type {
    public void hashCode() {}
}",0
82714,Hierarchy,equals,"class Hierarchy {
        public boolean equals(Object obj) {
            if (this == obj) {
                return true;
            }
            if (obj == null) {
                return false;
            }
            if (getClass() != obj.getClass()) {
                return false;
            }
            Hierarchy other = (Hierarchy) obj;
            if (dir == null) {
                if (other.dir != null) {
                    return false;
                }
            } else if (!dir.equals(other.dir)) {
                return false;
            }
            if (name == null) {
                if (other.name != null) {
                    return false;
                }
            } else if (!name.equals(other.name)) {
                return false;
            }
            if (type == null) {
                if (other.type != null) {
                    return false;
                }
            } else if (!type.equals(other.type)) {
                return false;
            }
            return true;
        }
}

class Name {
        public boolean equals(Object o) {
            if (isReference()) {
                return getRef().equals(o);
            }
            return o != null && (o == this || o.getClass().equals(getClass()));
        }
}

class Type {
    public void equals() {}
}",0
82715,SubSystem,hashCode,"class SubSystem {
        public int hashCode() {
            final int prime = 31;
            int result = 1;
            result = prime * result + ((type == null) ? 0 : type.hashCode());
            result = prime * result + hierarchyID;
            return result;
        }
}

class Type {
    public void hashCode() {}
}",0
82716,VersionInfoMojo,getCommaSeparatedList,"class VersionInfoMojo {
        private static String getCommaSeparatedList(List list) {
            StringBuilder buffer = new StringBuilder();
            String separator = """";
            for (Object e : list) {
                buffer.append(separator).append(e);
                separator = "","";
            }
            return buffer.toString();
        }
}

class Buffer {
    public void toString() {}
    public void append() {}
}",0
82717,VersionInfoMojo,convertFileSetToFiles,"class VersionInfoMojo {
        public static List<File> convertFileSetToFiles(FileSet source)
            throws IOException {
            String includes = getCommaSeparatedList(source.getIncludes());
            String excludes = getCommaSeparatedList(source.getExcludes());
            return FileUtils.getFiles(new File(source.getDirectory()), includes,
                                      excludes);
        }
}

class Source {
    public void getExcludes() {}
    public void getDirectory() {}
    public void getIncludes() {}
}

class FileUtils {
    public void getFiles() {}
}",1
82718,VersionInfoMojo,execute,"class VersionInfoMojo {
        public void execute() throws MojoExecutionException {
            try {
                SCM scm = determineScm();
                project.getProperties().setProperty(buildTimeProperty, getBuildTime());
                project.getProperties().setProperty(scmUriProperty, getSCMUri(scm));
                project.getProperties().setProperty(scmBranchProperty, getSCMBranch(scm));
                project.getProperties().setProperty(scmCommitProperty, getSCMCommit(scm));
                project.getProperties().setProperty(md5Property, computeMD5());
            } catch (Throwable ex) {
                throw new MojoExecutionException(ex.toString(), ex);
            }
        }
}

class Project {
    public void getProperties() {}
}",1
